Committee,Reporting Period,Report Type,Date Paid,Entity Name,First Name,Middle Initial,Last Name,Addr Line1,City,State,Zip,Zip4,Amount,Expenditure Type,Purpose,Candidate Issue,Election Type,Expenditure Platform,Expenditure Quantity,Expenditure Specific Services,Attachment,# of Donors - Individuals,Total $ - Individual,# of Donors - Committees,Total $ - Committee,Expenditure Paid Communications Platform,Expenditure Paid Communications Quantity,Expenditure Paid Communications Subject Matter,Column 1,Column 2,Matched Candidate,Matched District,Matched Party,Matched Race
AMERICANS FOR PROSPERITY - MONTANA,04/26/2026 to 05/24/2026,C4,2026-05-16 0:00:00,AMERICANS FOR PROSPERITY,,,,"4201 WILSON BLVD, STE 1000",ARLINGTON,VA,22203,,1196.06,3,Canvassing,TREVOR FUNSETH (HD-21),PM,DOORKNOCKING,5/16/26-5/24/26,CANVASSING,N,,,,,,,,,,TREVOR P FUNSETH,HOUSE DISTRICT 21,REP,STATE REPRESENTATIVE DISTRICT 21
AMERICANS FOR PROSPERITY - MONTANA,04/26/2026 to 05/24/2026,C4,2026-05-07 0:00:00,UNITED STATES POSTAL SERVICE,,,,470 L'ENFANT PLAZA SW STE 604,WASHINGTON,DC,20024,,262.17,3,Mailer,TREVOR FUNSETH (HD-21),PM,,"1,672",MAILER POSTAGE,N,,,,,,,,,,TREVOR P FUNSETH,HOUSE DISTRICT 21,REP,STATE REPRESENTATIVE DISTRICT 21
AMERICANS FOR PROSPERITY - MONTANA,04/26/2026 to 05/24/2026,C4,2026-05-07 0:00:00,FCG MAIL LLC,,,,558 E CASTLE PINES PKWY STE B-4 BOX 333,CASTLE PINES,CO,80108,,1513.83,3,Mailer,TREVOR FUNSETH (HD-21),PM,,"1,672","MAILER DESIGN, PRINTING & PRODUCTION",N,,,,,,,,,,TREVOR P FUNSETH,HOUSE DISTRICT 21,REP,STATE REPRESENTATIVE DISTRICT 21
AMERICANS FOR PROSPERITY - MONTANA,04/26/2026 to 05/24/2026,C4,2026-05-01 0:00:00,AMERICANS FOR PROSPERITY,,,,"4201 WILSON BLVD, STE 1000",ARLINGTON,VA,22203,,2111.14,3,Canvassing,TREVOR FUNSETH (HD-21),PM,DOORKNOCKING,5/1/26-5/15/26,CANVASSING,N,,,,,,,,,,TREVOR P FUNSETH,HOUSE DISTRICT 21,REP,STATE REPRESENTATIVE DISTRICT 21
AMERICANS FOR PROSPERITY - MONTANA,04/26/2026 to 05/24/2026,C4,2026-04-27 0:00:00,FCG MAIL LLC,,,,558 E CASTLE PINES PKWY STE B-4 BOX 333,CASTLE PINES,CO,80108,,2164.5,3,DOORHANGER,TREVOR FUNSETH (HD-21),PM,,"5,000","DOORHANGER DESIGN, PRINTING & PRODUCTION",N,,,,,,,,,,TREVOR P FUNSETH,HOUSE DISTRICT 21,REP,STATE REPRESENTATIVE DISTRICT 21
AMERICANS FOR PROSPERITY - MONTANA,04/26/2026 to 05/24/2026,C4,2026-04-26 0:00:00,CANVASS AMERICA,,,,"45 N HILL DR, STE 100",WARRENTON,VA,20186,,4115,3,Canvassing,TREVOR FUNSETH (HD-21),PM,DOORKNOCKING,4/26/26-5/24/26,CANVASSING,N,,,,,,,,,,TREVOR P FUNSETH,HOUSE DISTRICT 21,REP,STATE REPRESENTATIVE DISTRICT 21
AMERICANS FOR PROSPERITY - MONTANA,04/26/2026 to 05/24/2026,C4,2026-04-26 0:00:00,AMERICANS FOR PROSPERITY,,,,"4201 WILSON BLVD, STE 1000",ARLINGTON,VA,22203,,693.59,3,Canvassing,TREVOR FUNSETH (HD-21),PM,DOORKNOCKING,4/26/26-4/30/26,CANVASSING,N,,,,,,,,,,TREVOR P FUNSETH,HOUSE DISTRICT 21,REP,STATE REPRESENTATIVE DISTRICT 21
AMERICANS FOR PROSPERITY - MONTANA,03/26/2026 to 04/25/2026,C4,2026-04-24 0:00:00,UNITED STATES POSTAL SERVICE,,,,470 L'ENFANT PLAZA SW STE 604,WASHINGTON,DC,20024,,262.17,3,Mailer,TREVOR FUNSETH (HD-21),PM,,"1,672",MAILER POSTAGE,N,,,,,,,,,,TREVOR P FUNSETH,HOUSE DISTRICT 21,REP,STATE REPRESENTATIVE DISTRICT 21
AMERICANS FOR PROSPERITY - MONTANA,03/26/2026 to 04/25/2026,C4,2026-04-24 0:00:00,FCG MAIL LLC,,,,558 E CASTLE PINES PKWY STE B-4 BOX 333,CASTLE PINES,CO,80108,,1518.51,3,Mailer,TREVOR FUNSETH (HD-9),PM,,"1,672","MAILER DESIGN, PRINTING, AND PRODUCTION",N,,,,,,,,,,TREVOR P FUNSETH,HOUSE DISTRICT 21,REP,STATE REPRESENTATIVE DISTRICT 21
AMERICANS FOR PROSPERITY - MONTANA,03/26/2026 to 04/25/2026,C4,2026-04-16 0:00:00,AMERICANS FOR PROSPERITY,,,,4201 WILSON BLVD STE 1000,ARLINGTON,VA,22203,,1387.18,3,Canvassing,TREVOR FUNSETH (HD-21),PM,DOORKNOCKING,4/16/26-4/25/26,DOORKNOCKING,N,,,,,,,,,,TREVOR P FUNSETH,HOUSE DISTRICT 21,REP,STATE REPRESENTATIVE DISTRICT 21
